time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.422545,0.1056,0.6946,-1.9401,2.063
2.428039,0.2315,0.6268,-1.4195,1.569
2.433579,0.1279,0.2566,-0.8528,0.900
2.438219,0.0149,0.0041,-0.0985,0.100
2.443148,-0.0835,-0.1096,0.6640,0.678
2.448616,-0.1147,-0.1466,1.1914,1.206
2.452868,-0.1334,-0.2425,1.3585,1.386
2.458155,-0.2591,-0.3276,0.9728,1.059
2.462385,-0.3140,-0.4303,0.3005,0.612
2.468591,-0.0199,-0.1659,-0.8001,0.817
2.472517,0.3322,0.0683,-1.9616,1.991
2.477344,0.6336,0.2867,-3.0152,3.094
2.481920,0.7779,0.5909,-3.8743,3.996
2.487171,0.8951,0.8047,-4.6402,4.794
2.492027,1.0047,0.9207,-5.1016,5.281
2.496824,1.0231,0.8848,-5.0924,5.269
2.508806,0.9689,0.8504,-4.5990,4.776
2.509917,0.6635,0.7483,-3.7728,3.903
2.511617,-0.5277,1.4871,-3.8063,4.120
2.518200,-5.6749,6.2043,-7.2335,11.091
2.521491,0.7640,0.4736,-0.9715,1.324
2.526381,1.3201,1.3799,0.6227,2.009
2.531409,-2.8734,1.5193,-0.5502,3.297
2.536295,0.6515,0.2505,-0.3115,0.764
2.541513,3.9670,1.2184,0.4832,4.178
2.546196,4.3971,2.5494,1.4928,5.297
2.556113,4.0202,2.2149,1.1297,4.727
2.557450,3.8993,-0.1552,3.0638,4.961
2.561170,1.0776,-2.3349,3.2676,4.158
2.566066,-4.6597,-3.0390,-1.9424,5.892
2.572503,-4.9256,-2.7746,-1.3121,5.804
2.576650,-0.0877,-0.8040,3.0963,3.200
2.580713,3.2687,1.4380,4.5677,5.798
2.586785,3.5769,3.0534,0.6060,4.742
2.591118,4.1907,3.5652,-2.1976,5.925
2.595676,5.8288,3.3580,-3.3481,7.514
2.610508,6.3024,2.5564,-3.3011,7.560
2.612063,4.8805,0.7022,-3.2697,5.916
2.613002,2.1753,-1.1778,-4.1122,4.799
2.615325,-0.3204,-2.4506,-4.2052,4.878
2.621553,-1.5534,-2.6912,-2.9324,4.273
2.625218,-3.8517,-1.6738,-0.4682,4.226
2.630293,-9.1264,-0.5309,1.4251,9.252
2.642756,-1.9053,-3.0219,-1.5268,3.885
2.643769,4.2667,-3.6890,-1.5668,5.854
2.646916,4.6047,-1.9162,0.5534,5.018
2.653009,6.6324,-1.9888,0.5958,6.950
2.654770,7.6229,-3.8975,1.1315,8.636
2.659308,6.7455,-5.3029,2.3839,8.905
2.664310,5.6195,-6.1314,3.0178,8.848
2.669700,4.3336,-6.3141,3.1962,8.298
2.674564,3.2559,-6.5090,2.2418,7.615
2.679433,2.1451,-6.3198,1.0649,6.758
2.685284,1.1202,-5.2990,0.1433,5.418
